model,category,f1_score,support,spam_count,ham_count
SVM_RBF,Overall,0.9913430047704248,1208,,
SVM_RBF,easy_ham,1.0,521,0.0,521.0
SVM_RBF,easy_ham_2,1.0,260,0.0,260.0
SVM_RBF,hard_ham,0.8979591836734694,49,0.0,49.0
SVM_RBF,spam,1.0,98,98.0,0.0
SVM_RBF,spam_2,0.9857142857142858,280,280.0,0.0
XGBoost,Overall,0.9884490342321668,1208,,
XGBoost,easy_ham,1.0,521,0.0,521.0
XGBoost,easy_ham_2,0.9961538461538462,260,0.0,260.0
XGBoost,hard_ham,0.8979591836734694,49,0.0,49.0
XGBoost,spam,1.0,98,98.0,0.0
XGBoost,spam_2,0.9785714285714285,280,280.0,0.0
SVM_Linear,Overall,0.9894494047028278,1208,,
SVM_Linear,easy_ham,1.0,521,0.0,521.0
SVM_Linear,easy_ham_2,0.9961538461538462,260,0.0,260.0
SVM_Linear,hard_ham,0.8571428571428571,49,0.0,49.0
SVM_Linear,spam,0.9897959183673469,98,98.0,0.0
SVM_Linear,spam_2,0.9928571428571429,280,280.0,0.0
MultinomialNB,Overall,0.958234850389741,1208,,
MultinomialNB,easy_ham,1.0,521,0.0,521.0
MultinomialNB,easy_ham_2,1.0,260,0.0,260.0
MultinomialNB,hard_ham,0.3469387755102041,49,0.0,49.0
MultinomialNB,spam,0.9795918367346939,98,98.0,0.0
MultinomialNB,spam_2,0.9642857142857143,280,280.0,0.0
RandomForest,Overall,0.9817762444867026,1208,,
RandomForest,easy_ham,0.9980806142034548,521,0.0,521.0
RandomForest,easy_ham_2,0.9961538461538462,260,0.0,260.0
RandomForest,hard_ham,0.7959183673469388,49,0.0,49.0
RandomForest,spam,1.0,98,98.0,0.0
RandomForest,spam_2,0.975,280,280.0,0.0
