experiment,model,best_params,training_time,prediction_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr,cv_test_accuracy,cv_test_accuracy_std,cv_test_precision_macro,cv_test_precision_macro_std,cv_test_recall_macro,cv_test_recall_macro_std,cv_test_f1_macro,cv_test_f1_macro_std,cv_test_roc_auc_ovr,cv_test_roc_auc_ovr_std,dimensionality_method,n_components,original_features
dimensionality_study,PCA_50,{},8.918709754943848,0.6298089027404785,0.984271523178808,0.9800917794129282,0.9835118250780901,0.9817762444867026,,0.9808143547273981,0.003739466441447639,0.9785441311750026,0.004104055288086996,0.9767830647374273,0.004999020789532432,0.9776414803023827,0.004378413366291995,,,PCA_50,50,10000
dimensionality_study,PCA_100,{},11.542158126831055,0.6805903911590576,0.9850993377483444,0.9826735513482501,0.9826735513482501,0.9826735513482501,,0.9838509316770184,0.0044049616003403675,0.9817520240402031,0.005334971361708664,0.9806795009876941,0.005219756127467877,0.9811991709055551,0.00512553000033802,,,PCA_100,100,10000
dimensionality_study,PCA_200,{},9.544676542282104,0.6900625228881836,0.9875827814569537,0.9845614068495367,0.986641805316504,0.9855923248119727,,0.983160800552105,0.0033269760643737543,0.9803898364386311,0.004236314716013407,0.9804774853342122,0.0038759658942159624,0.9804199648302081,0.0038607879522174235,,,PCA_200,200,10000
dimensionality_study,SVD_50,{},6.204026937484741,0.6925163269042969,0.9668874172185431,0.9627463804357583,0.960056097405495,0.9613850245499181,,0.9608695652173914,0.006394801329805598,0.9587910181608419,0.007426197273634294,0.9497160714655115,0.008081468647252956,0.9540396077673314,0.007559755977291936,0.9884542649364835,0.0034296685885570537,SVD_50,50,10000
dimensionality_study,SVD_100,{},6.4595255851745605,0.6717326641082764,0.9718543046357616,0.9685556367740032,0.9658315802894116,0.9671772708674304,,0.9641821946169772,0.0057674485619810005,0.9611986298809129,0.006435326159213372,0.9551908282584576,0.007876875104975482,0.9580641558676994,0.006846732658006148,0.9929122983191704,0.002386210277337997,SVD_100,100,10000
dimensionality_study,SVD_200,{},7.982877492904663,0.6995153427124023,0.9793046357615894,0.9776131383345908,0.974134633773188,0.975848018457872,,0.9712215320910972,0.0046326256582024635,0.967859266918561,0.005404574698107408,0.9651179067897817,0.006267850943719125,0.9664297450513016,0.005441674349809576,0.9955188829112532,0.0020115363748096143,SVD_200,200,10000
dimensionality_study,SelectKBest_50,{},7.13726282119751,0.757697343826294,0.8518211920529801,0.8603233358010365,0.7869987888060177,0.8103292957521628,,0.8319530710835058,0.018578504209187073,0.8451533906267664,0.01955351838428238,0.7540671859846844,0.02826884975705863,0.7781112193313099,0.02884548290589531,0.930497778201945,0.008701663876609785,SelectKBest_50,50,10000
dimensionality_study,SelectKBest_100,{},7.776177406311035,0.8238525390625,0.9056291390728477,0.9141341680796486,0.8643335245744884,0.8837567359507313,,0.8917184265010352,0.005962349500746767,0.8986452646907176,0.008865330002326319,0.8459849840533908,0.0075582675833146705,0.8658751713380833,0.007444045928513311,0.9649058486567805,0.004691548264680248,SelectKBest_100,100,10000
dimensionality_study,SelectKBest_200,{},9.377862691879272,0.9181661605834961,0.9230132450331126,0.932517463872447,0.8877892522470836,0.9059126209445421,,0.9158730158730157,0.005574277572479955,0.9302606725923039,0.006787767763261644,0.874493702643072,0.007675505198387428,0.8958924616129418,0.007147584786374089,0.9771753679869708,0.003094346323233691,SelectKBest_200,200,10000
dimensionality_study,SelectKBest_500,{},11.14959979057312,0.9976084232330322,0.9610927152317881,0.9641680545997933,0.9450341046726589,0.9538340070075124,,0.9502415458937197,0.007469374322925567,0.9558642879999903,0.007194633307706042,0.9281617572224901,0.010907611720261803,0.9403496105170315,0.009230603471272294,0.9894719358657846,0.002422274183636894,SelectKBest_500,500,10000
dimensionality_study,baseline,{},25.74504041671753,1.6703228950500488,0.9867549668874173,0.985983405788738,0.9831580289411614,0.9845540098199672,,0.9807453416149069,0.005054474375045011,0.9789703768910736,0.005125251997749865,0.9761917336721763,0.007226257179878518,0.9775279514948029,0.005964436910260266,0.9984465981542703,0.0006564156252677212,baseline,10000,10000
